Date,Price,Open,High,Low,Volume,Chg%
11-08-2021,4638.8,4601.1,4644.6,4592.5,7.07K,0.93%
12-08-2021,4636.3,4630,4658.1,4615.1,6.43K,-0.05%
13-08-2021,4694,4645.2,4699.6,4641.6,6.47K,1.24%
16-08-2021,4722.5,4695,4728,4681.6,5.38K,0.61%
17-08-2021,4728,4723.5,4754.9,4718.3,7.00K,0.12%
18-08-2021,4713.2,4737.4,4743.7,4702.6,6.34K,-0.31%
19-08-2021,4716.9,4721.1,4785,4707.3,4.00K,0.08%
20-08-2021,4715.8,4725,4737.7,4706.5,5.26K,-0.02%
23-08-2021,4758.4,4721.5,4762.5,4714.9,5.78K,0.90%
24-08-2021,4761.2,4751.5,4773.1,4747.2,5.07K,0.06%
25-08-2021,4717.9,4743.5,4748.2,4708,7.14K,-0.91%
26-08-2021,4723.7,4718.1,4738,4693.4,6.29K,0.12%
27-08-2021,4753.8,4730,4758.2,4682,10.58K,0.64%
30-08-2021,4716.4,4743.8,4749.4,4714.5,4.72K,-0.79%
31-08-2021,4712,4729.9,4733.2,4677.6,6.85K,-0.09%
01-09-2021,4706.8,4712.9,4727.6,4698,5.34K,-0.11%
02-09-2021,4699.1,4704.9,4720.8,4690,4.27K,-0.16%
03-09-2021,4752.4,4709.5,4759.8,4703.5,8.42K,1.13%
06-09-2021,4742.5,4743.3,4749.7,4736.5,3.20K,-0.21%
07-09-2021,4693.9,4740.2,4743.5,4686.4,7.18K,-1.02%
08-09-2021,4703.8,4696.1,4714,4675,5.82K,0.21%
09-09-2021,4699.4,4693.8,4708.2,4671.3,7.17K,-0.09%
10-09-2021,4680.6,4690,4698.6,4675.1,2.45K,-0.40%
13-09-2021,4690.8,4692.7,4704.3,4676.6,5.38K,0.22%
14-09-2021,4726,4686.8,4732,4662,10.05K,0.75%
15-09-2021,4689.6,4718.5,4726.4,4686.8,6.33K,-0.77%
16-09-2021,4607.6,4688,4691.7,4581.2,10.01K,-1.75%
17-09-2021,4598.6,4610,4623.9,4585.3,6.35K,-0.20%
20-09-2021,4627.8,4593,4637.5,4588,6.70K,0.63%
21-09-2021,4663.8,4621,4679.9,4613,7.09K,0.78%
22-09-2021,4667.2,4665.1,4676.2,4655.6,4.15K,0.07%
23-09-2021,4605.6,4643.9,4653.4,4594,7.56K,-1.32%
24-09-2021,4599.5,4607.5,4613.2,4578.7,6.50K,-0.13%
27-09-2021,4606.9,4603.6,4622,4590.2,6.39K,0.16%
28-09-2021,4585.3,4607.1,4607.1,4568.8,8.25K,-0.47%
29-09-2021,4558.5,4596.3,4598,4551.1,3.22K,-0.58%
30-09-2021,4632.3,4565,4643.6,4547.9,0.11K,1.62%
01-10-2021,4628.6,4629.5,4633.2,4615.5,0.05K,-0.08%
04-10-2021,4628.6,4653.3,4696.3,4634.1,5.93K,0.00%
05-10-2021,4645,4653.5,4653.5,4635.4,0.01K,0.35%
06-10-2021,4690.7,4667.4,4699,4651.2,6.22K,0.98%
07-10-2021,4682.7,4685.1,4699,4668.7,4.96K,-0.17%
08-10-2021,4703.7,4686.1,4737,4685.4,8.31K,0.45%
11-10-2021,4705.1,4695,4718.8,4686.4,5.24K,0.03%
12-10-2021,4719.8,4709.9,4742,4703.6,6.67K,0.31%
13-10-2021,4791.6,4721.5,4799.9,4713.1,11.07K,1.52%
14-10-2021,4788.2,4780.8,4810,4778.3,4.96K,-0.07%
15-10-2021,4721.3,4760.2,4767.7,4712,7.18K,-1.40%
18-10-2021,4729.1,4722,4743.7,4716.9,5.43K,0.17%
19-10-2021,4728,4741,4764.5,4723.1,6.75K,-0.02%
20-10-2021,4749.9,4735.5,4757.6,4726.1,7.25K,0.46%
21-10-2021,4740.4,4752.9,4759.6,4734,5.21K,-0.20%
22-10-2021,4779.7,4755.5,4824.2,4748.2,11.59K,0.83%
25-10-2021,4820,4790,4829.9,4785.5,4.97K,0.84%
26-10-2021,4781.3,4814.7,4828,4758.4,9.00K,-0.80%
27-10-2021,4796.2,4776.1,4801.9,4762,6.39K,0.31%
28-10-2021,4796.1,4801.3,4822.9,4774.6,7.00K,0.00%
29-10-2021,4763.5,4783.6,4794.4,4738.2,10.35K,-0.68%
01-11-2021,4790.3,4761.5,4795.1,4759,6.03K,0.56%
02-11-2021,4762.2,4783.5,4788.5,4759.4,5.32K,-0.59%
03-11-2021,4700,4758.4,4758.4,4687.2,8.00K,-1.31%
04-11-2021,4755.3,4730,4759,4730,2.60K,1.18%
05-11-2021,4797.2,4751.9,4801.4,4729.4,5.32K,0.88%
08-11-2021,4801.8,4800,4817.4,4781.5,6.83K,0.10%
09-11-2021,4828.7,4801.5,4831.1,4797.6,6.59K,0.56%
10-11-2021,4885.4,4824.8,4928,4816.8,11.21K,1.17%
11-11-2021,4921.6,4894.1,4938,4891.1,5.42K,0.74%
12-11-2021,4931.4,4910.4,4934.6,4887.5,6.22K,0.20%
15-11-2021,4929.8,4917,4947.5,4909.2,5.09K,-0.03%
16-11-2021,4903.8,4934,4961,4901,8.38K,-0.53%
17-11-2021,4929.2,4906.8,4933.3,4898.5,5.68K,0.52%
18-11-2021,4905.9,4919.9,4927.3,4898.6,5.66K,-0.47%
19-11-2021,4882.8,4911.6,4930.8,4871,5.29K,-0.47%
22-11-2021,4792.3,4879.4,4887.5,4788.2,9.42K,-1.85%
23-11-2021,4743.4,4794.6,4803.1,4736.1,7.49K,-1.02%
24-11-2021,4743.8,4756.9,4767.4,4725.3,5.04K,0.01%
25-11-2021,4742.1,4754.5,4759.2,4731,3.89K,-0.04%
26-11-2021,4758.5,4761.5,4822.3,4753.5,5.99K,0.35%
29-11-2021,4758.7,4770,4798,4753,1.65K,0.00%
30-11-2021,4760.6,4757,4812.8,4743.6,0.08K,0.04%
01-12-2021,4757.8,4755,4778.3,4747,0.01K,-0.06%
02-12-2021,4721.4,4721.4,4721.4,4721.4,0.00K,-0.77%
03-12-2021,4715.3,4719.2,4727.1,4638.8,0.02K,-0.13%
06-12-2021,4791.4,4795.3,4803.9,4783,5.32K,1.61%
07-12-2021,4806,4790.7,4816.8,4779,6.05K,0.30%
